ind,text,suspicion.score,group,common
0,collaborate on the whodunit level as its larger themes get lost in the murk of its own making,2,alzantot,TRUE
1,fying and often surprising  a dark little morality tale disguised as a romantic comedy .,1,bae,TRUE
2,hards of  the ring  are more likely to remember the haunting images than the plot holes .,1,bae,TRUE
3,ly  from its pseudo-rock-video opening to the idiocy of its last frames .,2,bae,TRUE
4,nerd the cult section of your local video store for the real deal .,1,textfooler,TRUE
5,nk the cult section of your local video store for the real deal .,2,bae,TRUE
6,notify just proficiently enough to trounce its overly comfortable medal .,3,textfooler,TRUE
7,reported just proficiently enough to trounce its overly comfortable trappings .,2,alzantot,TRUE
8,screenwriter/headmistress joe carnahan's grimy crime theater is a guidebook of precinct stereotype  but it moves rapidly enough to cover its clunky conversation and lapses in reasoning .,2,alzantot,TRUE
9,seeking to bring head or tail of the histories in the hip-hop indie snipes is enough to give you brain tension -- and the pay-off is trifling .,2,alzantot,TRUE
10,sentimental and often surprising  a dark little morality tale disguised as a romantic comedy .,2,textfooler,TRUE
11,the mark of a respectable summer blockbuster is one of two issues : unadulterated thrills or genuine laughs .,2,alzantot,TRUE
12,the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs .,2,orig,TRUE
13,the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or tive laughs .,4,bae,TRUE
14,the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or veritable laughs .,2,textfooler,TRUE
15,the mark of a respectable summer blockbuster is one of two thins : unadulterated thrills or genuine laughs .,3,pruthi,TRUE
16,told just less enough to trounce its overly comfortable trappings .,2,bae,TRUE
17,told just proficiently enough to trounce its overly comfortable trappings .,2,orig,TRUE
18,told just prolficiently enough to trounce its overly comfortable trappings .,2,pruthi,TRUE
19,trifling  from its pseudo-rock-video keynote to the pettiness of its last frames .,3,textfooler,TRUE
20,trojll the cult section of your local video store for the real deal .,2,pruthi,TRUE
21,troll the adoration section of your local video shopping for the true treat .,3,alzantot,TRUE
22,troll the cult section of your local video store for the real deal .,2,orig,TRUE
23,trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is ager .,5,bae,TRUE
24,trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is nZegligible .,3,pruthi,TRUE
25,trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible .,2,orig,TRUE
26,trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is patti .,3,textfooler,TRUE
27,twenty three movies into a mostly magnificent directorial career clint eastwood's efficiently minimalist style finally has fail him big time,1,textfooler,TRUE
28,twenty three movies into a mostly magnificent directorial career clint eastwood's efficiently minimalist style finally has failed him big time,1,orig,TRUE
