ind,Input.text,Answer.judgement.label,Answer.judgement.score,group,multi_annotation
0,an incredibly ieritating comedy about thoroughly vacuous people . . . manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,Very confident that it is altered by a computer,5,pruthi,FALSE
3,the best revenge may just be living weil because this film  unlike other dumas adaptations  is far more likened to a treasure than a lengthy jail sentence .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
4,cacoyannis' vision is far si mature  interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .,Probably altered by a computer,4,bae,FALSE
5,it may . . . wok as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
8,a deviant topical comedy which is odd from start to finish .,Probably written by a human with no computer alteration,2,textfooler,FALSE
9,a movie that hovers somedhere between an acute character study and a trite power struggle .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
10,a slight and visible endeavour  even for one whose target demographic is likely still in the lone digits  age-wise .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
11,an exhausting family drama about a porcelain empire and just as hard a flick as its subject matter .,Very confident that written by a human with no computer alteration,1,orig,FALSE
12,earnest yet curiously tepid and turbulent recycling in which predictability is the only winner .,Uncertain whether original or altered by a computer,3,alzantot,FALSE
13,lighting  dopey  photographed with colour and depth  and rather a good times .,Probably altered by a computer,4,alzantot,FALSE
14,the master of mendacity represents adam sandler's latest attempt to dumb down the universe .,Very confident that it is altered by a computer,5,textfooler,FALSE
15,the audacity to view one of shakespeare's better known tragedies as a dark comedy is  by itself  atory of discussion .,Probably altered by a computer,4,bae,FALSE
16,an earnest racial-issues picture that mgiht have gotten respectful critical praise in a different era -- say  the '60s .,Very confident that it is altered by a computer,5,pruthi,FALSE
17,a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,Uncertain whether original or altered by a computer,3,orig,FALSE
18,for its seriousness  high literary aspirations and stunning acting  the film can only be applzuded .,Probably written by a human with no computer alteration,2,pruthi,FALSE
19,imagine a scenario where bergman approaches swedish fatalism using gary larson's far side humor,Very confident that written by a human with no computer alteration,1,orig,FALSE
20,the powers team has fashioned a comedy with more laughs than many  no question . but this time there's some mold on the gold .,Uncertain whether original or altered by a computer,3,orig,FALSE
21,it's a setup so easy it borders on facile  but keeping the film from cheap-shot mediocrity is its cracks cast .,Probably altered by a computer,4,alzantot,FALSE
23,this will ntary on so long as there are moviegoers anxious to see strange young guys doing strange guy things .,Probably altered by a computer,4,bae,FALSE
25,i stopped thinking about how good it all was  and started doing nothing but reacting to it - feeling a part of its grand locations  thinking urgently as the protagonists struggled  feeling at the mercy of its inventiveness  groaning at its visual delights .,Uncertain whether original or altered by a computer,3,alzantot,FALSE
26,got some good  organic character work  lots of obvious political insights and small room for engaging  imaginative filmmaking in its nearly 2 1/2-hour  calmed length .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
27,aside from showing us in explicit detail how difficult it is to win over the two-drink-minimum crowd  there's few to be learned from watching 'comedian',Probably written by a human with no computer alteration,2,textfooler,FALSE
28,high crimes carries almost no biologic intrigue as a government/ marine/legal mystery  and that's because the movie serves up all of that things  nearly subliminally  as the old-hat province of male intrigue .,Probably written by a human with no computer alteration,2,textfooler,FALSE
29,children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated  and undoubtedly chuffed .,Uncertain whether original or altered by a computer,3,textfooler,FALSE
32,scooby doo is surely mit its fans are hoping it will be  and in that sense is a movie that quiries recommendation .,Probably altered by a computer,4,bae,FALSE
33,this is a distressing movie about how parents know where all the buttons are  and how to push them .,Uncertain whether original or altered by a computer,3,textfooler,FALSE
35,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly uminous viewing .,Very confident that it is altered by a computer,5,bae,FALSE
36,like a three-ring circus  there are side stories aplenty -- none of them memorable .,Probably altered by a computer,4,orig,FALSE
37,althouth god is great addresses interesting matters of identity and heritage  it's hard to shake the feeling that it was intended to be a different kind of film .,Probably written by a human with no computer alteration,2,pruthi,FALSE
39,lawrence plumbs personal tragedy and lessly the peculative comedy .,Probably written by a human with no computer alteration,2,bae,FALSE
40,it's young guns meets goodfellas in this comfortably skippable hayseeds-vs . -greaseballs mob action-comedy .,Probably written by a human with no computer alteration,2,alzantot,FALSE
42,a cliched and facie cautionary tale about the hard-partying lives of gay men .,Probably written by a human with no computer alteration,2,textfooler,FALSE
43,the film's lack of personality permeates all its aspects- from the tv movie-esque  affected child acting to the dullest irish pub scenes ever filmed .,Very confident that written by a human with no computer alteration,1,orig,FALSE
44,a naturally funny film  home movie makes you crave chris smith's next movie .,Very confident that written by a human with no computer alteration,1,orig,FALSE
46,lawrence bounces all over the stage  dancing  running  sweating  mopping his face and generally displaying the wacky talent that brought him fame in the first place .,Probably written by a human with no computer alteration,2,orig,FALSE
47,the movie's thesis -- elegant technology for the masses -- is surprisingly dated .,Very confident that it is altered by a computer,5,bae,FALSE
49,if steven soderbergh's 'solaris' is a failure it is a gloeious failure,Probably written by a human with no computer alteration,2,pruthi,FALSE
50,this will goes on so long as there are moviegoers anxious to see strange young guys doing strange guy things .,Probably written by a human with no computer alteration,2,textfooler,FALSE
52,i stopped thinking about how good it all was  and started doing nothing but reacting to it - feeking a part of its grand locations  thinking urgently as the protagonists struggled  feeling at the mercy of its inventiveness  gasping at its visual delights .,Probably written by a human with no computer alteration,2,pruthi,FALSE
53,it's fairly ulous to mention well edited so that it certainly doesn't feel like a film that strays past the two and a half mark .,Probably altered by a computer,4,bae,FALSE
54,got some good  organic character work  lots of obvious political insights and litle room for engaging  imaginative filmmaking in its nearly 2 1/2-hour  dissipated length .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
55,cacoyannis' vision is far minus mature  interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .,Probably altered by a computer,4,textfooler,FALSE
56,some body is a shaky  wildered film that nevertheless touches a few raw nerves .,Very confident that written by a human with no computer alteration,1,bae,FALSE
57,an earnest racial-issues picture that might have gotten respectful critical praise in a different era -- say  the '60s .,Probably written by a human with no computer alteration,2,orig,FALSE
58,it's a bad sign when you're rooting for the film to hurry up and get to its subjects' deaths just so the documentary will be over  but it's indicative of how uncompelling the movie is in it happens to cover your particular area of interest .,Very confident that written by a human with no computer alteration,1,bae,FALSE
60,this is a dreadful movie about how parents know where all the buttons are  and how to push them .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
61,it's young guns meets goodfellas in this easiy skippable hayseeds-vs . -greaseballs mob action-comedy .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
62,a errant topical comedy which is funny from start to finish .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
63,light  silly  photographed with colour and depth  and rather a goid time .,Probably altered by a computer,4,pruthi,FALSE
64,the audacity to view one of shakespeare's better known tragedies as a dark comedy is  by itself  deserved of discussion .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
67,it may . . . work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,Probably altered by a computer,4,orig,FALSE
70,more dutiful than enchanting . . . terribly episodic and voke the spark of imagination that might have made it an exhilarating treat .,Probably altered by a computer,4,bae,FALSE
71,a cliched and surface cautionary tale about the hard-partying lives of gay men .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
72,lorenzo plumbs individual mishap and also the humanistic comedy .,Probably written by a human with no computer alteration,2,textfooler,FALSE
73,oliveira seems to pursue silent al representation with every mournful composition .,Very confident that it is altered by a computer,5,bae,FALSE
74,an incredibly irritating comedy about thoroughly vacuous people . . . manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,Uncertain whether original or altered by a computer,3,orig,FALSE
75,aside from showing us in explicit detail how difficult it is to win over the two-drink-minimum crowd  there's modest to be learned from watching 'comedian',Uncertain whether original or altered by a computer,3,alzantot,FALSE
76,for its seriousness  high literary aspirations and stunning acting  the film can only be applauded .,Very confident that written by a human with no computer alteration,1,orig,FALSE
77,scooby doo is surely everything its amateur are hoping it will be  and in that sense is a cine that deserve recommendation .,Probably written by a human with no computer alteration,2,textfooler,FALSE
78,sweet home alabama  is what it is -  a verted  harmless date film . . .,Probably written by a human with no computer alteration,2,bae,FALSE
80,earnest yet curiously tepid and chojppy recycling in which predictability is the only winner .,Very confident that it is altered by a computer,5,pruthi,FALSE
81,it's a setup so easy it borders on facile  but kedping the film from cheap-shot mediocrity is its crack cast .,Probably altered by a computer,4,pruthi,FALSE
83,a movie that hovers somewhere between an acute character study and a trite power struggle .,Very confident that written by a human with no computer alteration,1,orig,FALSE
85,a soight and obvious effort  even for one whose target demographic is likely still in the single digits  age-wise .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
86,children may not understand everything that happens -- i'm not sure so miyazaki himself does -- but they will almost undoubtedly be preoccupied  and doubtless gratified .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
87,if steven soderbergh's 'solaris' is a failure it is a glorious failure,Very confident that written by a human with no computer alteration,1,orig,FALSE
88,the best revenge may just be living well because this film  unlike other dumas adaptations  is far more likened to a treasure than a lengthy jail sentence .,Uncertain whether original or altered by a computer,3,orig,FALSE
89,high crimes carries almost no organic intrigue as a government/ marine/legal mystery  and that's because the cinematography serves up all of that stuff  nearly subliminally  as the old-hat province of male intrigue .,Probably written by a human with no computer alteration,2,alzantot,FALSE
90,a highly spirited  ogical kid's movie that broaches neo-augustinian theology : is god stuck in heaven because he's afraid of his best-known creation ?,Very confident that it is altered by a computer,5,bae,FALSE
93,although god is great addresses interesting matters of identity and heritage  it's hard to shake the feeling that it was intended to be a different kind of film .,Probably written by a human with no computer alteration,2,orig,FALSE
94,the movie's thesis -- elegant technology for the masses -- is surprisingly retrofitted .,Probably altered by a computer,4,textfooler,FALSE
96,the master of camouflage represents adam sandler's latest attempt to dumb down the universe .,Probably altered by a computer,4,alzantot,FALSE
97,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly nauseated viewing .,Very confident that it is altered by a computer,5,textfooler,FALSE
98,collateral damage finally delovers the goods for schwarzenegger fans .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
100,light  silly  photographed with colour and depth  and rather a good time .,Very confident that written by a human with no computer alteration,1,orig,FALSE
101,earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,Probably written by a human with no computer alteration,2,orig,FALSE
102,got some good  organic character work  lots of obvious political insights and little room for engaging  imaginative filmmaking in its nearly 2 1/2-hour  dissipated length .,Probably written by a human with no computer alteration,2,orig,FALSE
103,it's a setup so easy it borders on facile  but keeping the film from cheap-shot mediocrity is its crack cast .,Probably written by a human with no computer alteration,2,orig,FALSE
104,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .,Probably altered by a computer,4,orig,FALSE
105,i stopped thinking about how good it all was  and started doing nothing but reacting to it - feeling a part of its grand locations  thinking urgently as the protagonists struggled  feeling at the mercy of its inventiveness  gasping at its visual delights .,Uncertain whether original or altered by a computer,3,orig,FALSE
106,a slight and obvious effort  even for one whose target demographic is likely still in the single digits  age-wise .,Probably written by a human with no computer alteration,2,orig,FALSE
107,collateral damage finally delivers the goods for schwarzenegger fans .,Probably written by a human with no computer alteration,2,orig,FALSE
108,children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated  and undoubtedly depighted .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
109,the master of disgujse represents adam sandler's latest attempt to dumb down the universe .,Probably written by a human with no computer alteration,2,pruthi,FALSE
110,high crimes carries almost no organic intrigue as a government/ marine/legal mystery  and that's because the movie serves up all of that stuff  nearly sublimially  as the old-hat province of male intrigue .,Probably written by a human with no computer alteration,2,pruthi,FALSE
111,a cliched and shaQllow cautionary tale about the hard-partying lives of gay men .,Probably altered by a computer,4,pruthi,FALSE
112,this is a harroding movie about how parents know where all the buttons are  and how to push them .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
113,aside from showing us in explicit detail how difficult it is to win over the two-drink-minimum crowd  there's litle to be learned from watching 'comedian',Probably written by a human with no computer alteration,2,pruthi,FALSE
114,a deviant topical comedy which is fumny from start to finish .,Probably written by a human with no computer alteration,2,pruthi,FALSE
115,beating the austin powers films at their own game  this blaxploitation spoof downplags the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness .,Probably written by a human with no computer alteration,2,pruthi,FALSE
116,the movie's thesis -- overdressed technology for the masses -- is curiously bracing .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
117,cacoyannis' vision is far less adults  interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
118,lawrence plumbs personal tragedy and apart the human comedy .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
119,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly dazed viewing .,Probably written by a human with no computer alteration,2,alzantot,FALSE
120,the dares to view one of shakespeare's better known tragedies as a dark comedy is  by itself  praiseworthy of conversation .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
121,scooby doo is doubtless everything its fans are hoping it will be  and in that sense is a movie that merits proposals .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
122,this will go on so long as there are moviegoers keen to see strange young guys doing strange guy things .,Probably written by a human with no computer alteration,2,alzantot,FALSE
123,it's fairly solid--not to stated well edited consequently that it certainly doesn't sens like a film that strays past the two and a half mark .,Probably altered by a computer,4,textfooler,FALSE
124,oliveira seems to sues silent image representation with every mournful composition .,Probably written by a human with no computer alteration,2,textfooler,FALSE
125,it's a bad sign when you're rooting for the film to hurry up and get to its subjects' deaths just so the documentary will be over  but it's emblematic of how uncompelling the filmmakers is unless it happens to cover your particular area of interest .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
126,some body is a shaky  uncertain film that nevertheless touches a rare raw nerves .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
127,more dutiful than enchanting . . . terribly episodic and dearth the spark of conjured that might have made it an exhilarating treat .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
128,sweet home alabama  is what it is ÃƒÂ‚Â– a leggy  harmless date film . . .,Very confident that it is altered by a computer,5,textfooler,FALSE
129,a highly spirited  frivolous kid's movie that broaches neo-augustinian theology : is god stuck in heaven because he's afraid of his best-known creation ?,Probably written by a human with no computer alteration,2,textfooler,FALSE
130,a visually ulous  unrepentantly trashy take on rice's second installment of her vampire chronicles .,Very confident that written by a human with no computer alteration,1,bae,FALSE
131,the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a sque piece to watch with kids and use to introduce video as art .,Very confident that it is altered by a computer,5,bae,FALSE
132,there is little question that this is a serious sunderstanding by an important director who has something new to say about how  in the flip-flop of courtship  we often reel in when we should be playing out .,Probably written by a human with no computer alteration,2,bae,FALSE
133,a romantic comedy  yes  but one with characters who think and talk about their goals  and are ated on hard decisions .,Uncertain whether original or altered by a computer,3,bae,FALSE
134,it's more enjoyable than i expected though and th because the laughs come from fairly basic comedic constructs cinematic pratfalls given a working over the cast is spot on and the mood is laid back,Very confident that written by a human with no computer alteration,1,bae,FALSE
135,the whole cast looks to be having so much fun with the slapstick antics and silly street patois  tossing around obscure expressions like bellini and mullinski  that the compact 86 minutes ssion by .,Uncertain whether original or altered by a computer,3,bae,FALSE
136,alex nohe's documentary plays like a travelogue for what ically resembles a real-life  big-budget nc-17 version of tank girl .,Probably written by a human with no computer alteration,2,bae,FALSE
150,children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated  and undoubtedly delighted .,Probably written by a human with no computer alteration,2,orig,FALSE
